"Date(UTC)","UnixTimeStamp","No. of Deployed Contracts"
"2016-12-10","1481328000","1315"
"2016-12-11","1481414400","380"
"2016-12-12","1481500800","211"
"2016-12-13","1481587200","181"
"2016-12-14","1481673600","152"
"2016-12-15","1481760000","104"
"2016-12-16","1481846400","115"
"2016-12-17","1481932800","855"
"2016-12-18","1482019200","186"
"2016-12-19","1482105600","580"
"2016-12-20","1482192000","241"
"2016-12-21","1482278400","182"
"2016-12-22","1482364800","117"
"2016-12-23","1482451200","98"
"2016-12-24","1482537600","99"
"2016-12-25","1482624000","64"
"2016-12-26","1482710400","110"
"2016-12-27","1482796800","276"
"2016-12-28","1482883200","175"
"2016-12-29","1482969600","345"
"2016-12-30","1483056000","266"
"2016-12-31","1483142400","454"
"2017-01-01","1483228800","183"
"2017-01-02","1483315200","243"
"2017-01-03","1483401600","165"
"2017-01-04","1483488000","340"
"2017-01-05","1483574400","207"
"2017-01-06","1483660800","383"
"2017-01-07","1483747200","299"
"2017-01-08","1483833600","235"
"2017-01-09","1483920000","283"
"2017-01-10","1484006400","219"
"2017-01-11","1484092800","221"
"2017-01-12","1484179200","771"
"2017-01-13","1484265600","1056"
"2017-01-14","1484352000","808"
"2017-01-15","1484438400","252"
"2017-01-16","1484524800","97"
"2017-01-17","1484611200","220"
"2017-01-18","1484697600","325"
"2017-01-19","1484784000","185"
"2017-01-20","1484870400","456"
"2017-01-21","1484956800","108"
"2017-01-22","1485043200","111"
"2017-01-23","1485129600","343"
"2017-01-24","1485216000","197"
"2017-01-25","1485302400","193"
"2017-01-26","1485388800","518"
"2017-01-27","1485475200","271"
"2017-01-28","1485561600","473"
"2017-01-29","1485648000","164"
"2017-01-30","1485734400","525"
"2017-01-31","1485820800","102"
"2017-02-01","1485907200","316"
"2017-02-02","1485993600","235"
"2017-02-03","1486080000","183"
"2017-02-04","1486166400","329"
"2017-02-05","1486252800","159"
"2017-02-06","1486339200","147"
"2017-02-07","1486425600","382"
"2017-02-08","1486512000","701"
"2017-02-09","1486598400","163"
"2017-02-10","1486684800","172"
"2017-02-11","1486771200","259"
"2017-02-12","1486857600","535"
"2017-02-13","1486944000","263"
"2017-02-14","1487030400","270"
"2017-02-15","1487116800","336"
"2017-02-16","1487203200","172"
"2017-02-17","1487289600","240"
"2017-02-18","1487376000","970"
"2017-02-19","1487462400","244"
